MON_FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,MON_SCHOOL_ARRIVE,TUE_FIXED,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,TUE_SCHOOL_ARRIVE,WED_FIXED,WED_SCHOOL_DEPART,WED_STATION_DEPART,WED_SCHOOL_ARRIVE,THU_FIXED,THU_SCHOOL_DEPART,THU_STATION_DEPART,THU_SCHOOL_ARRIVE,FRI_FIXED,FRI_SCHOOL_DEPART,FRI_STATION_DEPART,FRI_SCHOOL_ARRIVE
FALSE,7:55,8:10,8:25,FALSE,7:55,8:10,8:25,FALSE,7:55,8:10,8:25,FALSE,7:55,8:10,8:25,FALSE,7:55,8:10,8:25
TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30,TRUE,8:00,8:15,8:30
FALSE,8:02,8:17,8:32,FALSE,8:02,8:17,8:32,FALSE,8:02,8:17,8:32,FALSE,8:02,8:17,8:32,FALSE,8:02,8:17,8:32
FALSE,8:03,8:18,8:33,FALSE,8:03,8:18,8:33,FALSE,8:03,8:18,8:33,FALSE,8:03,8:18,8:33,FALSE,8:03,8:18,8:33
TRUE,8:05,8:20,8:35,TRUE,8:05,8:20,8:35,TRUE,8:05,8:20,8:35,TRUE,8:05,8:20,8:35,TRUE,8:05,8:20,8:35
FALSE,8:45,9:00,9:15,FALSE,8:45,9:00,9:15,FALSE,8:45,9:00,9:15,FALSE,8:45,9:00,9:15,FALSE,8:45,9:00,9:15
FALSE,8:52,9:07,9:22,FALSE,8:52,9:07,9:22,FALSE,8:52,9:07,9:22,FALSE,8:52,9:07,9:22,FALSE,8:52,9:07,9:22
TRUE,9:00,9:15,9:30,TRUE,9:00,9:15,9:30,TRUE,9:00,9:15,9:30,TRUE,9:00,9:15,9:30,TRUE,9:00,9:15,9:30
FALSE,9:02,9:17,9:32,FALSE,9:02,9:17,9:32,FALSE,9:02,9:17,9:32,FALSE,9:02,9:17,9:32,FALSE,9:02,9:17,9:32
TRUE,9:05,9:20,9:35,TRUE,9:05,9:20,9:35,TRUE,9:05,9:20,9:35,TRUE,9:05,9:20,9:35,TRUE,9:05,9:20,9:35
FALSE,9:45,10:00,10:15,FALSE,9:45,10:00,10:15,FALSE,9:45,10:00,10:15,FALSE,9:45,10:00,10:15,FALSE,9:45,10:00,10:15
TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30,TRUE,10:00,10:15,10:30
FALSE,10:02,10:17,10:32,FALSE,10:02,10:17,10:32,FALSE,10:02,10:17,10:32,FALSE,10:02,10:17,10:32,FALSE,10:02,10:17,10:32
FALSE,10:03,10:18,10:33,FALSE,10:03,10:18,10:33,FALSE,10:03,10:18,10:33,FALSE,10:03,10:18,10:33,FALSE,10:03,10:18,10:33
TRUE,10:05,10:20,10:35,TRUE,10:05,10:20,10:35,TRUE,10:05,10:20,10:35,TRUE,10:05,10:20,10:35,TRUE,10:05,10:20,10:35
TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30,TRUE,12:00,12:15,12:30
TRUE,13:00,13:15,13:30,TRUE,13:00,13:15,13:30,TRUE,13:00,13:15,13:30,TRUE,13:00,13:15,13:30,TRUE,13:00,13:15,13:30
TRUE,14:00,14:15,14:30,TRUE,14:00,14:15,14:30,TRUE,14:00,14:15,14:30,TRUE,14:00,14:15,14:30,TRUE,14:00,14:15,14:30
FALSE,15:00,15:15,15:30,FALSE,15:00,15:15,15:30,FALSE,15:00,15:15,15:30,FALSE,15:00,15:15,15:30,FALSE,15:00,15:15,15:30
