FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,MON_SCHOOL_ARRIVE,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,TUE_SCHOOL_ARRIVE,WED_SCHOOL_DEPART,WED_STATION_DEPART,WED_SCHOOL_ARRIVE,THU_SCHOOL_DEPART,THU_STATION_DEPART,THU_SCHOOL_ARRIVE,FRI_SCHOOL_DEPART,FRI_STATION_DEPART,FRI_SCHOOL_ARRIVE
FALSE,475,490,505,475,490,505,475,490,505,475,490,505,475,490,505
TRUE,480,495,510,480,495,510,480,495,510,480,495,510,480,495,510
FALSE,482,497,512,482,497,512,482,497,512,482,497,512,482,497,512
FALSE,483,498,513,483,498,513,483,498,513,483,498,513,483,498,513
TRUE,485,500,515,485,500,515,485,500,515,485,500,515,485,500,515
FALSE,525,540,555,525,540,555,525,540,555,525,540,555,525,540,555
FALSE,532,547,562,532,547,562,532,547,562,532,547,562,532,547,562
TRUE,540,555,570,540,555,570,540,555,570,540,555,570,540,555,570
FALSE,542,557,572,542,557,572,542,557,572,542,557,572,542,557,572
TRUE,545,560,575,545,560,575,545,560,575,545,560,575,545,560,575
FALSE,585,600,615,585,600,615,585,600,615,585,600,615,585,600,615
TRUE,600,615,630,600,615,630,600,615,630,600,615,630,600,615,630
FALSE,602,617,632,602,617,632,602,617,632,602,617,632,602,617,632
FALSE,603,618,633,603,618,633,603,618,633,603,618,633,603,618,633
TRUE,605,620,635,605,620,635,605,620,635,605,620,635,605,620,635
TRUE,720,735,750,720,735,750,720,735,750,720,735,750,720,735,750
TRUE,780,795,810,780,795,810,780,795,810,780,795,810,780,795,810
TRUE,840,855,870,840,855,870,840,855,870,840,855,870,840,855,870
FALSE,900,915,930,900,915,930,900,915,930,900,915,930,900,915,930
TRUE,915,930,945,915,930,945,915,930,945,915,930,945,915,930,945
FALSE,945,960,975,945,960,975,945,960,975,945,960,975,945,960,975
FALSE,960,975,990,960,975,990,960,975,990,960,975,990,960,975,990
TRUE,975,990,1005,975,990,1005,975,990,1005,975,990,1005,975,990,1005
FALSE,1005,1020,1035,1005,1020,1035,1005,1020,1035,1005,1020,1035,1005,1020,1035
FALSE,1015,1030,1045,1015,1030,1045,1015,1030,1045,1015,1030,1045,1015,1030,1045
FALSE,1025,1040,1055,1025,1040,1055,1025,1040,1055,1025,1040,1055,1025,1040,1055
TRUE,1035,1050,1065,1035,1050,1065,1035,1050,1065,1035,1050,1065,1035,1050,1065
FALSE,1065,1080,1095,1065,1080,1095,1065,1080,1095,1065,1080,1095,1065,1080,1095
TRUE,1095,1110,1125,1095,1110,1125,1095,1110,1125,1095,1110,1125,1095,1110,1125
TRUE,1155,1170,1185,1155,1170,1185,1155,1170,1185,1155,1170,1185,1155,1170,1185
